aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
41938,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25008.0,1801064.0,4023962.0,1721570.0,242646.0,3568.0,3642428.0,0.0,5612.0,,0.0,0.0,6955258.0,6240808.0,1072380.0,599776.0,0.0,0.0,9302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49430.0,7766542.0,1846.0,0.0,7048.0,3478.0,4970.0,14096.0,3413544.0,4374630.0,44.0,8.0,0.0,0.0,4678344.0,1165194.0,403886.0,287592.0,218248.0,192338.0,205438.0,306060.0,288984.0,71734.0,8028844.0,0.0,610.0,1846.0,284.0,3642428.0,93906.0,341844.0,728662.0,197680.0,144020.0,141660.0,156500.0,157540.0,138680.0,0.0,0.0,122400.0,41937.78,8028844.0,8028844.0,,33148.0,350316.0,,756280.0,,1209600.0,0.0,,,,4664459.52,0.0,3143895.36,,,0.0,0.0,0.0,197454.0,2776586.0,3556002.0,1170652.0,103214.0,13660.0,250.0,,2584.0,8028844.0,,8682.0,1404.0,969988.0,2209364.0,692362.0,3376162.0,555144.0,4708.0,4.0,0.0,,,,,,,,,,13382.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52582.0,46242.0,7892.0,0.0,0.0,164310.0,21466.0,13494480.0,2141846.0,0.0,0.0,0.0,0.0,40937430.0,,,3196560.0,3086466.0,575130.0,307618.0,434888.0,120874.0,50392.0,23196.0,22594.0,100.0,0.0,0.0
39450,,2130706432.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,144616.0,1005358.0,1546798.0,277958.0,13980.0,1330.0,1286662.0,0.0,0.0,0.0,2334.0,4226.0,2758896.0,2397584.0,487150.0,264170.0,0.0,0.0,0.0,0.0,446.0,106.0,0.0,0.0,0.0,0.0,0.0,20796.0,1516174.0,809428.0,643642.0,0.0,3726.0,1084.0,1266.0,146252.0,2101236.0,735960.0,516.0,0.0,0.0,0.0,1150772.0,640878.0,270166.0,202402.0,162544.0,161038.0,246726.0,155514.0,0.0,0.0,3249520.0,0.0,186.0,604.0,62.0,1286662.0,33682.0,246276.0,239428.0,213560.0,189960.0,,,,,,,73660.0,39449.73,3249520.0,3249520.0,3261964.0,13762.0,44790.0,76276.0,819000.0,2990040.0,1209600.0,119444.0,2.0,150.0,0.0,2525839.68,0.0,458524.8,0.0,0.0,0.0,0.0,10100.0,294192.0,1069362.0,1113142.0,430300.0,58420.0,12694.0,1830.0,546.0,586.0,3249520.0,,8298.0,1108.0,18774.0,297766.0,134040.0,1800996.0,705702.0,23352.0,4.0,0.0,484.0,300.0,2234404.0,73456.0,6938.0,87240.0,0.0,40.0,2563130.0,3868.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21094.0,63760.0,16786.0,0.0,0.0,78880.0,11960.0,8916120.0,1013900.0,0.0,0.0,0.0,0.0,1418050.0,2040.14,2310.0,503988.0,649944.0,514840.0,212218.0,387540.0,345424.0,198282.0,89942.0,83662.0,4200.0,0.0,0.0
39808,,2130706434.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,249872.0,1643158.0,970532.0,37986.0,2262.0,1185686.0,0.0,0.0,0.0,0.0,0.0,2539048.0,2155798.0,497910.0,322950.0,0.0,0.0,0.0,0.0,3522.0,476.0,0.0,0.0,0.0,0.0,0.0,18662.0,233808.0,2499218.0,152348.0,0.0,2170.0,1572.0,2106.0,172638.0,2156216.0,569052.0,282.0,0.0,0.0,0.0,1013192.0,787424.0,302444.0,194648.0,148412.0,112034.0,115484.0,230398.0,0.0,0.0,3037584.0,1208.0,5328.0,994.0,28.0,1185686.0,38592.0,198172.0,295978.0,194700.0,186520.0,,,,,,,109980.0,39807.64,3037584.0,3037584.0,3030216.0,17337.0,890.0,57476.0,611580.0,2904036.0,1209600.0,108398.0,2.0,60.0,0.0,2328909.12,0.0,572147.52,0.0,0.0,0.0,0.0,0.0,90886.0,719876.0,1585290.0,477602.0,24336.0,5820.0,226.0,20.0,34.0,3037584.0,,4914.0,672.0,60174.0,139012.0,392338.0,1907654.0,392642.0,6558.0,72.0,0.0,1396.0,1278.0,2372290.0,546426.0,0.0,1172.0,0.0,22.0,2374116.0,2498.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20504.0,15188.0,7468.0,0.0,0.0,78968.0,17528.0,5011360.0,505232.0,0.0,0.0,0.0,0.0,9807720.0,1260.38,1346.0,597806.0,638062.0,268748.0,108282.0,225594.0,200746.0,450284.0,210610.0,192392.0,11512.0,0.0,0.0
30156,,328.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,2340.0,1487086.0,417508.0,22892.0,9528.0,1036978.0,0.0,0.0,0.0,0.0,0.0,1668872.0,1443484.0,357232.0,194556.0,0.0,0.0,3000.0,0.0,1684.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,503232.0,1254730.0,182782.0,0.0,1594.0,992.0,954.0,24270.0,1098710.0,813952.0,272.0,0.0,0.0,0.0,651784.0,435456.0,217644.0,155566.0,106352.0,78622.0,89508.0,205812.0,0.0,0.0,2026304.0,146.0,166.0,724.0,12.0,1036978.0,30870.0,150296.0,206114.0,184480.0,,,,,,,,169880.0,30156.35,2026304.0,2026304.0,2020466.0,13873.0,10476.0,79124.0,813620.0,1940744.0,1209600.0,52328.0,0.0,96.0,0.0,1672547.52,0.0,266046.72,0.0,0.0,0.0,0.0,0.0,90.0,558332.0,1132816.0,232944.0,14208.0,2228.0,126.0,124.0,142.0,2026304.0,,2424.0,274.0,35546.0,178404.0,77858.0,1184952.0,454868.0,6382.0,36.0,0.0,434.0,1016.0,1610364.0,138034.0,32.0,5544.0,0.0,0.0,1684642.0,1452.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16152.0,18824.0,3232.0,0.0,0.0,44478.0,10336.0,105860.0,58556.0,0.0,0.0,0.0,0.0,29156450.0,662.58,680.0,277840.0,349918.0,213650.0,102412.0,233758.0,283008.0,144032.0,107164.0,212226.0,16736.0,0.0,0.0
24,,48.0,22.0,0.0,0.0,0.0,0.0,0.0,698.0,5920.0,1466.0,2678.0,0.0,0.0,0.0,3410.0,0.0,0.0,0.0,1040.0,2282.0,17282.0,15364.0,6454.0,632.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.0,9478.0,0.0,2366.0,6.0,18.0,34.0,2080.0,6258.0,0.0,0.0,0.0,0.0,7430.0,1462.0,226.0,314.0,104.0,64.0,108.0,1028.0,26.0,0.0,24812.0,2.0,6.0,2.0,0.0,3410.0,182.0,3594.0,2708.0,,,,,,,,,6120.0,24.74,24812.0,24812.0,29166.0,48.0,0.0,2342.0,24600.0,10762.0,1209600.0,460.0,4.0,4.0,0.0,3173.76,11.52,5291.52,0.0,20.0,0.0,1344.0,2450.0,3780.0,1302.0,1646.0,240.0,0.0,0.0,0.0,2.0,6.0,24812.0,,2354.0,16.0,24.0,34.0,308.0,2500.0,4112.0,1338.0,76.0,0.0,48.0,138.0,2722.0,114.0,0.0,0.0,0.0,0.0,3766.0,48.0,76.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,3546.0,694.0,96.0,28.0,1580.0,158.0,54.0,10.0,0.0,0.0,0.0,345.02,68.0,7832.0,2306.0,186.0,68.0,102.0,108.0,46.0,114.0,0.0,0.0,0.0,0.0
48786,,1154.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.0,585586.0,2147770.0,555882.0,28514.0,3130.0,1553162.0,0.0,0.0,0.0,0.0,0.0,3027224.0,2669426.0,445574.0,276432.0,0.0,0.0,0.0,0.0,2160.0,512.0,0.0,0.0,0.0,0.0,0.0,269076.0,1577214.0,1304240.0,173732.0,0.0,2860.0,920.0,1870.0,254644.0,2291300.0,767714.0,4954.0,0.0,0.0,0.0,974684.0,953112.0,279352.0,207252.0,148526.0,124490.0,215758.0,421088.0,0.0,0.0,3473742.0,34.0,622.0,438.0,2.0,1553162.0,39790.0,209640.0,233632.0,129920.0,189720.0,,,,,,,117120.0,48785.54,3473742.0,3473742.0,3470542.0,22550.0,2242.0,99240.0,1043040.0,3324262.0,1209600.0,106546.0,0.0,124.0,0.0,2922742.08,31.68,398182.08,0.0,0.0,0.0,0.0,0.0,98778.0,1007448.0,1688368.0,490186.0,34094.0,5052.0,336.0,440.0,444.0,3473742.0,,6430.0,882.0,108104.0,175514.0,177470.0,2181644.0,648724.0,25246.0,248.0,0.0,1702.0,2146.0,2720146.0,59324.0,0.0,32294.0,0.0,20.0,2948948.0,2736.0,750.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,22408.0,39454.0,6504.0,0.0,0.0,101784.0,13244.0,412160.0,61092.0,0.0,0.0,0.0,0.0,9246150.0,1479.98,1974.0,420420.0,647034.0,528878.0,268690.0,563344.0,400286.0,241578.0,117152.0,134270.0,2610.0,0.0,0.0
37204,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13544.0,966456.0,1125052.0,67264.0,2396.0,254.0,1096482.0,0.0,54.0,0.0,0.0,0.0,1922946.0,1709246.0,338072.0,185572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5004.0,861854.0,487236.0,820872.0,0.0,3048.0,186.0,314.0,408.0,3350.0,2167370.0,290.0,0.0,0.0,0.0,626124.0,575866.0,320122.0,214016.0,142482.0,106994.0,140760.0,48602.0,0.0,0.0,2261300.0,342.0,58.0,416.0,58.0,1096482.0,31340.0,170662.0,166232.0,182620.0,,,,,,,,152300.0,37203.54,2261300.0,2261300.0,2267962.0,12891.0,195786.0,103028.0,1048520.0,2174966.0,1209600.0,0.0,,,,1950489.6,0.0,221022.72,0.0,110.0,0.0,0.0,0.0,292792.0,1350814.0,495752.0,29810.0,4600.0,1198.0,0.0,,0.0,2261300.0,,4222.0,256.0,3380.0,127320.0,57284.0,770060.0,1184164.0,28060.0,220.0,0.0,,,,,,,,,,962.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15196.0,29864.0,6610.0,0.0,0.0,78600.0,11298.0,4918160.0,756820.0,0.0,0.0,0.0,0.0,36203730.0,641.14,644.0,233862.0,221546.0,217462.0,140796.0,411606.0,454740.0,353898.0,123360.0,17696.0,0.0,0.0,0.0
125254,0.0,270.0,114.0,390.0,1102.0,0.0,0.0,0.0,220152.0,3269378.0,5713016.0,2557528.0,534916.0,51868.0,0.0,5480308.0,0.0,0.0,0.0,185976.0,337604.0,12002120.0,11315572.0,8184504.0,752286.0,2.0,0.0,0.0,0.0,2032.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672494.0,9674364.0,0.0,35630.0,9948.0,21102.0,29758.0,96066.0,1084440.0,10742668.0,221220.0,106026.0,0.0,6020270.0,2098982.0,1903364.0,811706.0,372852.0,284430.0,268324.0,185680.0,170256.0,230994.0,20372140.0,5800.0,8314.0,3200.0,2.0,5480308.0,130268.0,7397174.0,785944.0,552840.0,564420.0,510980.0,509920.0,446560.0,425440.0,439820.0,439160.0,420800.0,125254.69,20372140.0,20372140.0,22466804.0,37238.0,44.0,97450.0,1012320.0,12351156.0,1209600.0,363054.0,0.0,278.0,0.0,7599740.16,3556169.28,1186135.68,6.0,12082.0,0.0,20842.0,883792.0,2277456.0,3034984.0,3328390.0,2214024.0,551992.0,34456.0,922.0,5344.0,7252.0,20372140.0,0.0,48688.0,6380.0,33538.0,3995082.0,716986.0,6104800.0,1408612.0,32772.0,0.0,0.0,236.0,4116.0,7589346.0,3942950.0,0.0,1826.0,0.0,0.0,7637852.0,12282.0,664.0,0.0,0.0,10780.0,10292028.0,0.0,0.0,0.0,0.0,51410.0,10782.0,1490.0,13150026.0,2129722.0,390842.0,57956.0,12500.0,1500.0,17476252.0,45872.0,104.0,1822.0,33215080.0,25270.26,13826.0,4820864.0,2068892.0,914438.0,358056.0,412140.0,2663112.0,1036322.0,73014.0,20.0,0.0,0.0,42.0
2728,,2130706434.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,83254.0,78910.0,70.0,0.0,0.0,70244.0,0.0,0.0,0.0,0.0,0.0,147828.0,132470.0,28292.0,11836.0,0.0,0.0,0.0,0.0,360.0,86.0,0.0,0.0,0.0,0.0,0.0,8910.0,109046.0,26970.0,17446.0,0.0,1138.0,48.0,72.0,76.0,3466.0,155466.0,2106.0,0.0,0.0,0.0,53028.0,76102.0,19568.0,9424.0,2588.0,1114.0,476.0,72.0,0.0,0.0,176156.0,6.0,46.0,2110.0,0.0,70244.0,1916.0,17244.0,10998.0,,,,,,,,,27900.0,2727.59,176156.0,176156.0,179510.0,580.0,0.0,17378.0,175680.0,162372.0,1209600.0,4440.0,2.0,18.0,0.0,147497.28,0.0,13722.24,0.0,0.0,0.0,0.0,0.0,37790.0,104802.0,18872.0,782.0,102.0,24.0,0.0,0.0,8.0,176156.0,,1242.0,34.0,170.0,10298.0,2948.0,44598.0,99722.0,3290.0,70.0,0.0,654.0,292.0,149096.0,84158.0,0.0,8.0,0.0,20.0,149150.0,150.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,620.0,232.0,0.0,0.0,3500.0,926.0,939460.0,93888.0,0.0,0.0,0.0,0.0,1727600.0,94.0,98.0,16346.0,20428.0,13266.0,6480.0,25304.0,76454.0,3936.0,136.0,22.0,0.0,0.0,0.0
40188,,438.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,141182.0,829594.0,1305472.0,281670.0,8850.0,318.0,1227962.0,0.0,0.0,0.0,0.0,0.0,2356238.0,2137578.0,300418.0,176612.0,0.0,0.0,0.0,0.0,1112.0,180.0,0.0,0.0,0.0,0.0,0.0,50368.0,974198.0,1362026.0,180494.0,0.0,1648.0,372.0,622.0,29834.0,1463674.0,1066732.0,4204.0,0.0,0.0,0.0,731442.0,749758.0,205468.0,145450.0,109714.0,92328.0,109290.0,402794.0,20842.0,0.0,2657086.0,138.0,510.0,198.0,0.0,1227962.0,24560.0,145142.0,153422.0,112600.0,160740.0,,,,,,,22220.0,40188.89,2657086.0,2657086.0,2633934.0,18242.0,3146.0,20710.0,233060.0,2567086.0,1209600.0,87104.0,0.0,78.0,0.0,2321655.36,0.0,243553.92,0.0,0.0,0.0,0.0,3918.0,292182.0,854758.0,1077764.0,319474.0,16648.0,2234.0,108.0,822.0,834.0,2657086.0,,3476.0,480.0,16926.0,138048.0,71650.0,1393934.0,917840.0,24468.0,264.0,0.0,676.0,574.0,2057492.0,75810.0,0.0,2218.0,0.0,36.0,2341950.0,1950.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12722.0,28508.0,5136.0,0.0,0.0,87720.0,11652.0,637260.0,148132.0,0.0,0.0,0.0,0.0,39188910.0,1008.28,1048.0,260748.0,482810.0,371034.0,204356.0,411714.0,356420.0,195976.0,110664.0,153014.0,20350.0,0.0,0.0
